Date,Open,High,Low,Close,Adj Close,Volume
2000-03-22,37950.000000,40100.000000,37600.000000,39000.000000,29484.677734,785300
2000-03-23,38700.000000,38700.000000,36600.000000,36800.000000,27821.447266,400000
2000-03-24,37100.000000,37700.000000,36500.000000,36800.000000,27821.447266,333600
2000-03-27,37100.000000,39150.000000,36800.000000,37800.000000,28577.457031,506700
2000-03-28,37800.000000,42500.000000,37800.000000,41900.000000,31677.130859,1145700
2000-03-29,42000.000000,44300.000000,41500.000000,43500.000000,32886.761719,1499500
2000-03-30,44500.000000,45900.000000,43500.000000,43500.000000,32886.761719,1162900
2000-03-31,42200.000000,43700.000000,40700.000000,41000.000000,30996.716797,515100
2000-04-03,42000.000000,42400.000000,39500.000000,40000.000000,30240.699219,547900
2000-04-04,39000.000000,41800.000000,39000.000000,41500.000000,31374.722656,378200
2000-04-05,41500.000000,41500.000000,41500.000000,41500.000000,31374.722656,0
2000-04-06,40600.000000,41400.000000,40550.000000,41400.000000,31299.125000,234900
2000-04-07,41500.000000,44200.000000,41400.000000,43800.000000,33113.566406,895300
2000-04-10,45000.000000,46200.000000,43050.000000,45400.000000,34323.199219,983200
2000-04-11,45400.000000,47500.000000,44000.000000,46300.000000,35003.605469,1038500
2000-04-12,46300.000000,46800.000000,45050.000000,45350.000000,34285.386719,482800
2000-04-13,45350.000000,45350.000000,45350.000000,45350.000000,34285.386719,0
2000-04-14,44500.000000,44500.000000,43200.000000,44000.000000,33264.773438,410400
2000-04-17,39500.000000,41500.000000,38600.000000,41000.000000,30996.716797,549100
2000-04-18,44300.000000,44300.000000,41500.000000,43100.000000,32584.351563,513400
2000-04-19,44000.000000,47700.000000,43900.000000,45100.000000,34096.386719,1111200
2000-04-20,45550.000000,47300.000000,45000.000000,46250.000000,34965.808594,735000
2000-04-21,46900.000000,47200.000000,45600.000000,46950.000000,35495.023438,437400
2000-04-24,46800.000000,46800.000000,44300.000000,44900.000000,33945.187500,332100
2000-04-25,43200.000000,45800.000000,43200.000000,45000.000000,34020.781250,254800
2000-04-26,46500.000000,46500.000000,42800.000000,42900.000000,32433.154297,463100
2000-04-27,42000.000000,44300.000000,41300.000000,42900.000000,32433.154297,494900
2000-04-28,42900.000000,46750.000000,42900.000000,46300.000000,35003.605469,601300
2000-05-01,46300.000000,46300.000000,46300.000000,46300.000000,35003.605469,0
2000-05-02,46500.000000,49200.000000,46500.000000,48100.000000,36364.441406,688600
2000-05-03,47800.000000,48700.000000,47100.000000,48600.000000,36742.441406,431800
2000-05-04,48000.000000,50500.000000,47800.000000,49500.000000,37422.871094,629000
2000-05-05,49500.000000,49500.000000,49500.000000,49500.000000,37422.871094,0
2000-05-08,50600.000000,51500.000000,49700.000000,50400.000000,38103.289063,610100
2000-05-09,50400.000000,50400.000000,50400.000000,50400.000000,38103.289063,0
2000-05-10,50300.000000,50900.000000,49500.000000,50000.000000,37800.871094,456200
2000-05-11,50000.000000,50000.000000,50000.000000,50000.000000,37800.871094,0
2000-05-12,49100.000000,50300.000000,47900.000000,49000.000000,37044.855469,348300
2000-05-15,47500.000000,49000.000000,46500.000000,47500.000000,35910.835938,354900
2000-05-16,48100.000000,51300.000000,47500.000000,50900.000000,38481.289063,573400
2000-05-17,51600.000000,52900.000000,49900.000000,49900.000000,37725.277344,867300
2000-05-18,48150.000000,50600.000000,48150.000000,49500.000000,37422.871094,382200
2000-05-19,49500.000000,49800.000000,48100.000000,49500.000000,37422.871094,395900
2000-05-22,49000.000000,49300.000000,45000.000000,45700.000000,34549.996094,366000
2000-05-23,44700.000000,47000.000000,44000.000000,44900.000000,33945.187500,284600
2000-05-24,44000.000000,45500.000000,41300.000000,44300.000000,33491.578125,329200
2000-05-25,44700.000000,46500.000000,43000.000000,44150.000000,33378.175781,583800
2000-05-26,43500.000000,43500.000000,39800.000000,39950.000000,30202.902344,409300
2000-05-29,38000.000000,40700.000000,37700.000000,39900.000000,30165.101563,354700
2000-05-30,39900.000000,39900.000000,39900.000000,39900.000000,30165.101563,0
2000-05-31,45700.000000,46800.000000,43000.000000,43000.000000,32508.757813,725300
2000-06-01,44400.000000,46800.000000,43500.000000,45900.000000,34701.214844,481700
2000-06-02,47300.000000,49200.000000,47300.000000,48000.000000,36288.847656,636700
2000-06-05,49000.000000,49700.000000,47550.000000,48000.000000,36288.847656,573600
2000-06-06,48000.000000,48000.000000,48000.000000,48000.000000,36288.847656,0
2000-06-07,48000.000000,49500.000000,47500.000000,49000.000000,37044.855469,543400
2000-06-08,49400.000000,49400.000000,47500.000000,47700.000000,36062.031250,570500
2000-06-09,48600.000000,54800.000000,48200.000000,53000.000000,40068.933594,1091200
2000-06-12,54400.000000,54400.000000,51500.000000,53000.000000,40068.933594,805700
2000-06-13,52400.000000,52400.000000,50000.000000,51300.000000,38783.707031,366700
2000-06-14,51300.000000,54000.000000,49650.000000,52800.000000,39917.722656,737500
2000-06-15,51900.000000,54300.000000,50500.000000,50500.000000,38178.886719,399800
2000-06-16,50500.000000,53800.000000,49700.000000,51000.000000,38556.886719,463100
2000-06-19,50100.000000,52900.000000,50100.000000,52000.000000,39312.906250,334200
2000-06-20,53000.000000,55800.000000,52500.000000,55000.000000,41580.964844,782000
2000-06-21,55000.000000,56700.000000,54000.000000,54500.000000,41202.945313,494700
2000-06-22,55100.000000,55800.000000,53000.000000,54200.000000,40976.152344,295800
2000-06-23,53400.000000,54000.000000,52400.000000,53500.000000,40446.937500,281900
2000-06-26,54000.000000,54500.000000,53000.000000,53000.000000,40068.933594,343500
2000-06-27,53700.000000,53900.000000,53000.000000,53800.000000,40673.750000,292200
2000-06-28,54500.000000,54800.000000,53600.000000,54400.000000,41127.351563,284900
2000-06-29,54800.000000,55000.000000,53000.000000,53000.000000,40440.625000,334700
2000-06-30,53000.000000,54000.000000,52800.000000,53500.000000,40822.148438,171800
2000-07-03,53400.000000,54000.000000,52800.000000,53600.000000,40898.437500,233500
2000-07-04,54000.000000,54400.000000,52800.000000,52800.000000,40288.011719,200000
2000-07-05,53000.000000,57300.000000,52900.000000,56300.000000,42958.625000,379100
2000-07-06,56000.000000,57500.000000,55000.000000,55900.000000,42653.410156,328600
2000-07-07,57000.000000,58000.000000,54900.000000,55500.000000,42348.203125,249200
2000-07-10,55500.000000,58000.000000,55000.000000,57600.000000,43950.562500,417800
2000-07-11,57000.000000,59500.000000,56600.000000,57600.000000,43950.562500,567300
2000-07-12,57100.000000,58200.000000,55600.000000,56000.000000,42729.714844,252500
2000-07-13,56500.000000,56900.000000,55600.000000,56100.000000,42806.015625,251600
2000-07-14,56500.000000,57500.000000,56000.000000,56000.000000,42729.714844,237000
2000-07-17,56000.000000,56000.000000,56000.000000,56000.000000,42729.714844,0
2000-07-18,56700.000000,56700.000000,54200.000000,55600.000000,42424.500000,169700
2000-07-19,56700.000000,56700.000000,54200.000000,55600.000000,42424.500000,169700
